Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
989,tt0481797,2016-08-01,2016-08-01,,"Youth Without Youth","Youth Without Youth",https://www.imdb.com/title/tt0481797/,Movie,6.1,124,2007,"Drama, Fantasy, Mystery, Romance, Sci-Fi",14668,2007-10-26,"Francis Ford Coppola"
990,tt0298744,2016-08-01,2016-08-01,,"Auto Focus","Auto Focus",https://www.imdb.com/title/tt0298744/,Movie,6.7,105,2002,"Biography, Crime, Drama",15828,2002-11-01,"Paul Schrader"
991,tt0083624,2016-08-01,2016-08-01,,"Basket Case","Basket Case",https://www.imdb.com/title/tt0083624/,Movie,6.2,91,1982,"Comedy, Horror",23601,1982-04-02,"Frank Henenlotter"
992,tt0080388,2016-08-01,2016-08-01,,"Atlantic City","Atlantic City",https://www.imdb.com/title/tt0080388/,Movie,7.3,104,1980,"Crime, Drama, Romance",19335,1981-04-03,"Louis Malle"
993,tt0112887,2016-08-01,2016-08-01,,"The Doom Generation","The Doom Generation",https://www.imdb.com/title/tt0112887/,Movie,6.2,83,1995,"Comedy, Crime, Drama",19434,1995-10-27,"Gregg Araki"
994,tt0220580,2016-08-01,2016-08-01,,"Intacto","Intacto",https://www.imdb.com/title/tt0220580/,Movie,6.8,108,2001,"Drama, Fantasy, Romance, Thriller",14058,2001-11-09,"Juan Carlos Fresnadillo"
995,tt0940709,2016-08-01,2016-08-01,,"CJ7","Cheung gong 7 hou",https://www.imdb.com/title/tt0940709/,Movie,6.4,88,2008,"Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",18362,2008-01-30,"Stephen Chow"
996,tt0149624,2016-08-01,2016-08-01,,"All the Pretty Horses","All the Pretty Horses",https://www.imdb.com/title/tt0149624/,Movie,5.8,116,2000,"Drama, Romance, Western",16196,2000-12-25,"Billy Bob Thornton"
997,tt0105585,2016-08-01,2016-08-01,,"Thunderheart","Thunderheart",https://www.imdb.com/title/tt0105585/,Movie,6.8,119,1992,"Crime, Mystery, Thriller",18884,1992-04-03,"Michael Apted"
998,tt0239949,2016-08-01,2016-08-01,,"Say It Isn't So","Say It Isn't So",https://www.imdb.com/title/tt0239949/,Movie,5.0,95,2001,"Comedy, Romance",14113,2001-03-23,"J.B. Rogers"
999,tt0400426,2016-08-01,2016-08-01,,"Far Cry","Far Cry",https://www.imdb.com/title/tt0400426/,Movie,3.2,95,2008,"Action, Adventure, Sci-Fi",15485,2008-10-02,"Uwe Boll"
1000,tt4853102,2016-08-01,2016-08-01,,"Batman: The Killing Joke","Batman: The Killing Joke",https://www.imdb.com/title/tt4853102/,Movie,6.4,76,2016,"Animation, Action, Crime, Drama, Thriller",64672,2016-07-25,"Sam Liu"
1001,tt0100530,2016-08-01,2016-08-01,,"The Russia House","The Russia House",https://www.imdb.com/title/tt0100530/,Movie,6.1,123,1990,"Drama, Romance, Thriller",19310,1990-12-21,"Fred Schepisi"
1002,tt0098320,2016-08-01,2016-08-01,,"Shocker","Shocker",https://www.imdb.com/title/tt0098320/,Movie,5.5,109,1989,"Comedy, Horror, Thriller",18923,1989-10-27,"Wes Craven"
1003,tt3480796,2016-08-01,2016-08-01,,"Vice","Vice",https://www.imdb.com/title/tt3480796/,Movie,4.2,96,2015,"Action, Sci-Fi, Thriller",17437,2015-01-16,"Brian A. Miller"
1004,tt0117958,2016-08-01,2016-08-01,,"Trees Lounge","Trees Lounge",https://www.imdb.com/title/tt0117958/,Movie,7.1,95,1996,"Comedy, Drama",18442,1996-10-11,"Steve Buscemi"
1005,tt0253614,2016-08-01,2016-08-01,,"Saban, Son of Saban","Saban Oglu Saban",https://www.imdb.com/title/tt0253614/,Movie,8.7,90,1977,"Comedy, History",19672,1977-12-01,"Ertem Egilmez"
1006,tt0082783,2016-08-01,2016-08-01,,"My Dinner with Andre","My Dinner with Andre",https://www.imdb.com/title/tt0082783/,Movie,7.7,110,1981,"Comedy, Drama",29226,1981-10-11,"Louis Malle"
1007,tt0051411,2016-08-01,2016-08-01,,"The Big Country","The Big Country",https://www.imdb.com/title/tt0051411/,Movie,7.9,166,1958,"Drama, Romance, Western",23421,1958-10,"William Wyler"
1008,tt0118055,2016-08-01,2016-08-01,,"Up Close & Personal","Up Close & Personal",https://www.imdb.com/title/tt0118055/,Movie,6.1,124,1996,"Drama, Romance",16121,1996-03-01,"Jon Avnet"
1009,tt1545759,2016-08-01,2016-08-01,,"Point Blank","À bout portant",https://www.imdb.com/title/tt1545759/,Movie,6.8,84,2010,"Action, Crime, Drama, Thriller",15012,2010-12-01,"Fred Cavayé"
1010,tt0418832,2016-08-01,2016-08-01,,"Lie with Me","Lie with Me",https://www.imdb.com/title/tt0418832/,Movie,5.2,93,2005,"Drama, Romance",18078,2006-01-18,"Clement Virgo"
1011,tt0047677,2016-08-01,2016-08-01,,"The Wild One","The Wild One",https://www.imdb.com/title/tt0047677/,Movie,6.7,79,1953,"Crime, Drama, Romance",18789,1954-02,"Laslo Benedek"
1012,tt4009460,2016-08-01,2016-08-01,,"Kirk Cameron's Saving Christmas","Saving Christmas",https://www.imdb.com/title/tt4009460/,Movie,1.3,79,2014,"Comedy, Family",17217,2014-10-14,"Darren Doane"
1013,tt0106453,2016-08-01,2016-08-01,,"Body of Evidence","Body of Evidence",https://www.imdb.com/title/tt0106453/,Movie,4.6,99,1993,"Drama, Thriller",17293,1993-01-15,"Uli Edel"
1014,tt0110687,2016-08-01,2016-08-01,,"North","North",https://www.imdb.com/title/tt0110687/,Movie,4.6,87,1994,"Adventure, Comedy, Drama, Family, Fantasy",15370,1994-07-22,"Rob Reiner"
1015,tt1975249,2016-08-01,2016-08-01,,"6 Bullets","6 Bullets",https://www.imdb.com/title/tt1975249/,Movie,6.0,115,2012,"Action, Crime, Drama, Thriller",16439,2012-09-28,"Ernie Barbarash"
1016,tt1230385,2016-08-01,2016-08-01,,"The Yellow Sea","Hwanghae",https://www.imdb.com/title/tt1230385/,Movie,7.3,136,2010,"Action, Crime, Drama, Thriller",24297,2011-12-02,"Na Hong-jin"
1017,tt2675914,2016-08-01,2016-08-01,,"In Order of Disappearance","Kraftidioten",https://www.imdb.com/title/tt2675914/,Movie,7.1,116,2014,"Action, Comedy, Crime, Drama, Thriller",30503,2014-02-21,"Hans Petter Moland"
1018,tt1119191,2016-08-01,2016-08-01,,"The Killing Room","The Killing Room",https://www.imdb.com/title/tt1119191/,Movie,5.6,93,2009,"Mystery, Thriller",15294,2009-11-14,"Jonathan Liebesman"
1019,tt1780798,2016-08-01,2016-08-01,,"Clown","Clown",https://www.imdb.com/title/tt1780798/,Movie,5.7,100,2014,"Fantasy, Horror, Thriller",28810,2016-06-17,"Jon Watts"
1020,tt1981107,2016-08-01,2016-08-01,,"The Young and Prodigious T.S. Spivet","The Young and Prodigious T.S. Spivet",https://www.imdb.com/title/tt1981107/,Movie,7.0,105,2013,"Adventure, Comedy, Drama, Family",21055,2015-07-31,"Jean-Pierre Jeunet"
1021,tt0810823,2016-08-01,2016-08-01,,"The Deaths of Ian Stone","The Deaths of Ian Stone",https://www.imdb.com/title/tt0810823/,Movie,5.5,87,2007,"Horror, Thriller",13875,2007-07-18,"Dario Piana"
1022,tt2265534,2016-08-01,2016-08-01,,"The Lifeguard","The Lifeguard",https://www.imdb.com/title/tt2265534/,Movie,5.6,98,2013,"Drama, Romance",15507,2013-07-30,"Liz W. Garcia"
1023,tt0070643,2016-08-01,2016-08-01,,"Scarecrow","Scarecrow",https://www.imdb.com/title/tt0070643/,Movie,7.2,112,1973,"Drama",21462,1973-04-11,"Jerry Schatzberg"
1024,tt0058888,2016-08-01,2016-08-01,,"Red Beard","Akahige",https://www.imdb.com/title/tt0058888/,Movie,8.3,185,1965,"Drama",22864,1968-12-19,"Akira Kurosawa"
1025,tt0054130,2016-08-01,2016-08-01,,"La Notte","La notte",https://www.imdb.com/title/tt0054130/,Movie,7.9,122,1961,"Drama",25886,1962-02-19,"Michelangelo Antonioni"
1026,tt1545754,2016-08-01,2016-08-01,,"Are You Here","Are You Here",https://www.imdb.com/title/tt1545754/,Movie,5.3,114,2013,"Comedy, Drama",17277,2014-08-22,"Matthew Weiner"
1027,tt1231277,2016-08-01,2016-08-01,,"S. Darko","S. Darko",https://www.imdb.com/title/tt1231277/,Movie,3.6,103,2009,"Drama, Mystery, Sci-Fi, Thriller",14879,2009-08-21,"Chris Fisher"
1028,tt0087910,2016-08-01,2016-08-01,,"The Philadelphia Experiment","The Philadelphia Experiment",https://www.imdb.com/title/tt0087910/,Movie,6.1,102,1984,"Adventure, Drama, Romance, Sci-Fi, Thriller",17734,1984-08-03,"Stewart Raffill"
1029,tt0094631,2016-08-01,2016-08-01,,"Alien Nation","Alien Nation",https://www.imdb.com/title/tt0094631/,Movie,6.3,91,1988,"Action, Sci-Fi",17450,1988-10-07,"Graham Baker"
1030,tt0758771,2016-08-01,2016-08-01,,"Outlaw","Outlaw",https://www.imdb.com/title/tt0758771/,Movie,5.7,103,2007,"Action, Crime, Drama, Thriller",13031,2007-03-09,"Nick Love"
1031,tt0412798,2016-08-01,2016-08-01,,"Half Light","Half Light",https://www.imdb.com/title/tt0412798/,Movie,6.0,110,2006,"Drama, Horror, Mystery, Romance, Thriller",15139,2006-01-17,"Craig Rosenberg"
1032,tt0252489,2016-08-01,2016-08-01,,"The Chaos Class Is on Vacation","Hababam Sinifi: Tatilde",https://www.imdb.com/title/tt0252489/,Movie,8.6,97,1977,"Comedy",19862,1978-02-26,"Ertem Egilmez"
1033,tt0496436,2016-08-01,2016-08-01,,"White Noise 2: The Light","White Noise 2: The Light",https://www.imdb.com/title/tt0496436/,Movie,5.7,99,2007,"Drama, Fantasy, Horror, Thriller",14124,2021-09-01,"Patrick Lussier"
1034,tt0060955,2016-08-01,2016-08-01,,"Seconds","Seconds",https://www.imdb.com/title/tt0060955/,Movie,7.6,106,1966,"Sci-Fi, Thriller",24214,1966-10-02,"John Frankenheimer"
1035,tt2319580,2016-08-01,2016-08-01,,"The Grand Seduction","The Grand Seduction",https://www.imdb.com/title/tt2319580/,Movie,7.0,113,2013,"Comedy",20732,2014-05-30,"Don McKellar"
1036,tt0054248,2016-08-01,2016-08-01,,"Rocco and His Brothers","Rocco e i suoi fratelli",https://www.imdb.com/title/tt0054248/,Movie,8.2,179,1960,"Crime, Drama, Sport",25127,1961-03-10,"Luchino Visconti"
1037,tt0077369,2016-08-01,2016-08-01,,"Convoy","Convoy",https://www.imdb.com/title/tt0077369/,Movie,6.3,110,1978,"Action, Drama",20382,1978-06-10,"Sam Peckinpah"
1038,tt0066763,2016-08-01,2016-08-01,,"Anand","Anand",https://www.imdb.com/title/tt0066763/,Movie,8.1,122,1971,"Drama, Musical",36940,1971-03-12,"Hrishikesh Mukherjee"
1039,tt1392197,2016-08-01,2016-08-01,,"Marmaduke","Marmaduke",https://www.imdb.com/title/tt1392197/,Movie,4.3,87,2010,"Comedy, Family",18445,2010-06-04,"Tom Dey"
1040,tt0086361,2016-08-01,2016-08-01,,"Staying Alive","Staying Alive",https://www.imdb.com/title/tt0086361/,Movie,4.8,93,1983,"Drama, Music, Romance",18469,1983-07-15,"Sylvester Stallone"
1041,tt0100486,2016-08-01,2016-08-01,,"Reversal of Fortune","Reversal of Fortune",https://www.imdb.com/title/tt0100486/,Movie,7.2,111,1990,"Biography, Drama, Mystery",20937,1990-11-09,"Barbet Schroeder"
1042,tt4052882,2016-08-01,2016-08-01,,"The Shallows","The Shallows",https://www.imdb.com/title/tt4052882/,Movie,6.3,86,2016,"Drama, Horror, Thriller",151674,2016-06-24,"Jaume Collet-Serra"
1043,tt0132512,2016-08-01,2016-08-01,,"At First Sight","At First Sight",https://www.imdb.com/title/tt0132512/,Movie,6.0,128,1999,"Drama, Romance",15186,1999-01-15,"Irwin Winkler"
1044,tt1663143,2016-08-01,2016-08-01,,"Fun Size","Fun Size",https://www.imdb.com/title/tt1663143/,Movie,5.4,86,2012,"Adventure, Comedy, Crime, Family",15712,2012-10-26,"Josh Schwartz"
1045,tt2955316,2016-08-01,2016-08-01,,"Spanish Affair","Ocho apellidos vascos",https://www.imdb.com/title/tt2955316/,Movie,6.5,98,2014,"Comedy, Romance",19444,2014-03-14,"Emilio Martínez Lázaro"
1046,tt0058625,2016-08-01,2016-08-01,,"Woman in the Dunes","Suna no onna",https://www.imdb.com/title/tt0058625/,Movie,8.4,147,1964,"Drama, Thriller",24756,1964-10-25,"Hiroshi Teshigahara"
1047,tt0265808,2016-08-01,2016-08-01,,"Stealing Harvard","Stealing Harvard",https://www.imdb.com/title/tt0265808/,Movie,5.1,85,2002,"Comedy, Crime",14119,2002-09-13,"Bruce McCulloch"
1048,tt0157472,2016-08-01,2016-08-01,,"Clockstoppers","Clockstoppers",https://www.imdb.com/title/tt0157472/,Movie,5.2,94,2002,"Action, Adventure, Comedy, Sci-Fi, Thriller",15574,2002-03-29,"Jonathan Frakes"
1049,tt0423409,2016-08-01,2016-08-01,,"Tristram Shandy","A Cock and Bull Story",https://www.imdb.com/title/tt0423409/,Movie,6.7,94,2005,"Comedy",13560,2006-01-20,"Michael Winterbottom"
1050,tt0126250,2016-08-01,2016-08-01,,"Cookie's Fortune","Cookie's Fortune",https://www.imdb.com/title/tt0126250/,Movie,6.8,118,1999,"Comedy, Drama",14195,1999-04-16,"Robert Altman"
1051,tt0071746,2016-08-01,2016-08-01,,"Lenny","Lenny",https://www.imdb.com/title/tt0071746/,Movie,7.5,111,1974,"Biography, Drama",18893,1975-02-07,"Bob Fosse"
1052,tt0035140,2016-08-01,2016-08-01,,"Now, Voyager","Now, Voyager",https://www.imdb.com/title/tt0035140/,Movie,7.8,117,1942,"Drama, Romance",20314,1942-10-31,"Irving Rapper"
1053,tt2784512,2016-08-01,2016-08-01,,"Zombeavers","Zombeavers",https://www.imdb.com/title/tt2784512/,Movie,4.8,77,2014,"Comedy, Horror",22410,2015-03-20,"Jordan Rubin"
1054,tt0110882,2016-08-01,2016-08-01,,"Before the Rain","Pred dozhdot",https://www.imdb.com/title/tt0110882/,Movie,7.8,113,1994,"Drama, Romance, War",16504,1995-02-24,"Milcho Manchevski"
1055,tt1609479,2016-08-01,2016-08-01,,"Better Living Through Chemistry","Better Living Through Chemistry",https://www.imdb.com/title/tt1609479/,Movie,6.2,91,2014,"Comedy, Drama",15994,2014-03-14,"Geoff Moore, David Posamentier"
1056,tt0368667,2016-08-01,2016-08-01,,"Interstella 5555: The 5tory of the 5ecret 5tar 5ystem","Interstella 5555: The 5tory of the 5ecret 5tar 5ystem",https://www.imdb.com/title/tt0368667/,Movie,7.8,68,2003,"Animation, Adventure, Music, Sci-Fi",17339,2003-05-28,"Daisuke Nishio, Hirotoshi Rissen, Kazuhisa Takenouchi, Leiji Matsumoto"
1057,tt0111579,2016-08-01,2016-08-01,,"Burnt by the Sun","Utomlennye solntsem",https://www.imdb.com/title/tt0111579/,Movie,7.8,135,1994,"Drama, War",17030,1995-04-21,"Nikita Mikhalkov"
1058,tt0238552,2016-08-01,2016-08-01,,"Replicant","Replicant",https://www.imdb.com/title/tt0238552/,Movie,5.4,100,2001,"Action, Sci-Fi, Thriller",16357,2001-05-11,"Ringo Lam, Robert Milicevic"
1059,tt0429715,2016-08-01,2016-08-01,,"The Business","The Business",https://www.imdb.com/title/tt0429715/,Movie,6.6,97,2005,"Crime, Drama, Thriller",15948,2005-09-02,"Nick Love"
1060,tt0275773,2016-08-01,2016-08-01,,"Versus","Versus",https://www.imdb.com/title/tt0275773/,Movie,6.3,119,2000,"Action, Drama, Fantasy, Horror, Thriller",14093,2002-02-20,"Ryûhei Kitamura"
1061,tt0397619,2016-08-01,2016-08-01,,"Samaritan Girl","Samaria",https://www.imdb.com/title/tt0397619/,Movie,7.0,97,2004,"Drama",14371,2004-03-05,"Kim Ki-duk"
1062,tt0191043,2016-08-01,2016-08-01,,"The Color of Paradise","Rang-e khoda",https://www.imdb.com/title/tt0191043/,Movie,8.1,90,1999,"Drama, Family",19111,1999-02-08,"Majid Majidi"
1063,tt1173745,2016-08-01,2016-08-01,,"Revanche","Revanche",https://www.imdb.com/title/tt1173745/,Movie,7.5,121,2008,"Crime, Drama, Romance, Thriller",16964,2008-05-16,"Götz Spielmann"
1064,tt1371155,2016-08-01,2016-08-01,,"Made in Dagenham","Made in Dagenham",https://www.imdb.com/title/tt1371155/,Movie,7.1,113,2010,"Comedy, Drama, History",16479,2010-09-20,"Nigel Cole"
1065,tt1018765,2016-08-01,2016-08-01,,"Our Brand Is Crisis","Our Brand Is Crisis",https://www.imdb.com/title/tt1018765/,Movie,6.1,107,2015,"Comedy, Drama",23907,2015-10-30,"David Gordon Green"
1066,tt2006040,2016-08-01,2016-08-01,,"A Fantastic Fear of Everything","A Fantastic Fear of Everything",https://www.imdb.com/title/tt2006040/,Movie,5.8,100,2012,"Comedy, Horror",15677,2012-06-08,"Crispian Mills, Chris Hopewell"
1067,tt3125324,2016-08-01,2016-08-01,,"Beyond the Lights","Beyond the Lights",https://www.imdb.com/title/tt3125324/,Movie,6.8,116,2014,"Drama, Music, Romance",18095,2014-11-14,"Gina Prince-Bythewood"
1068,tt0167456,2016-08-01,2016-08-01,,"Thunderbirds","Thunderbirds",https://www.imdb.com/title/tt0167456/,Movie,4.3,95,2004,"Action, Adventure, Comedy, Family, Sci-Fi",14962,2004-07-30,"Jonathan Frakes"
1069,tt0120800,2016-08-01,2016-08-01,,"Quest for Camelot","Quest for Camelot",https://www.imdb.com/title/tt0120800/,Movie,6.3,86,1998,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical",19252,1998-05-15,"Frederik Du Chau"
1070,tt0424908,2016-08-01,2016-08-01,,"Copying Beethoven","Copying Beethoven",https://www.imdb.com/title/tt0424908/,Movie,6.7,104,2006,"Biography, Drama, Music",14381,2007-03-08,"Agnieszka Holland"
1071,tt1341710,2016-08-01,2016-08-01,,"The Shrine","The Shrine",https://www.imdb.com/title/tt1341710/,Movie,5.5,85,2010,"Horror",14654,2010-10-14,"Jon Knautz"
1072,tt0113690,2016-08-01,2016-08-01,,"Lord of Illusions","Lord of Illusions",https://www.imdb.com/title/tt0113690/,Movie,6.0,109,1995,"Horror, Mystery, Thriller",20667,1995-08-25,"Clive Barker"
1073,tt0081529,2016-08-01,2016-08-01,,"Smokey and the Bandit II","Smokey and the Bandit II",https://www.imdb.com/title/tt0081529/,Movie,5.3,100,1980,"Action, Adventure, Comedy",18724,1980-08-15,"Hal Needham"
1074,tt0274117,2016-08-01,2016-08-01,,"Read My Lips","Sur mes lèvres",https://www.imdb.com/title/tt0274117/,Movie,7.3,115,2001,"Crime, Drama, Romance, Thriller",17107,2002-07-26,"Jacques Audiard"
1075,tt0047136,2016-08-01,2016-08-01,,"Johnny Guitar","Johnny Guitar",https://www.imdb.com/title/tt0047136/,Movie,7.6,110,1954,"Drama, Western",21136,1954-08-23,"Nicholas Ray"
1076,tt0489327,2016-08-01,2016-08-01,,"Venus","Venus",https://www.imdb.com/title/tt0489327/,Movie,7.1,95,2006,"Comedy, Drama, Romance",13740,2007-02-16,"Roger Michell"
1077,tt0808339,2016-08-01,2016-08-01,,"The Heir Apparent: Largo Winch","Largo Winch",https://www.imdb.com/title/tt0808339/,Movie,6.4,108,2008,"Action, Thriller",15479,2008-12-17,"Jérôme Salle"
1078,tt0134154,2016-08-01,2016-08-01,,"Ride with the Devil","Ride with the Devil",https://www.imdb.com/title/tt0134154/,Movie,6.7,138,1999,"Drama, Romance, War, Western",15096,1999-11-05,"Ang Lee"
1079,tt0772193,2016-08-01,2016-08-01,,"Primeval","Primeval",https://www.imdb.com/title/tt0772193/,Movie,4.8,93,2007,"Action, Adventure, Crime, Horror, War",15747,2007-01-12,"Michael Katleman"
1080,tt0057877,2016-08-01,2016-08-01,,"Becket","Becket",https://www.imdb.com/title/tt0057877/,Movie,7.7,148,1964,"Biography, Drama, History",16766,1964-03-11,"Peter Glenville"
1081,tt0116095,2016-08-01,2016-08-01,,"Diabolique","Diabolique",https://www.imdb.com/title/tt0116095/,Movie,5.5,107,1996,"Drama, Horror, Mystery, Thriller",16163,1996-03-22,"Jeremiah S. Chechik"
1082,tt0100395,2016-08-01,2016-08-01,,"Postcards from the Edge","Postcards from the Edge",https://www.imdb.com/title/tt0100395/,Movie,6.7,101,1990,"Comedy, Drama",20829,1990-09-14,"Mike Nichols"
1083,tt1029120,2016-08-01,2016-08-01,,"Henry Poole Is Here","Henry Poole Is Here",https://www.imdb.com/title/tt1029120/,Movie,6.4,99,2008,"Comedy, Drama",13298,2008-08-15,"Mark Pellington"
1084,tt0313196,2016-08-01,2016-08-01,,"The Crime of Padre Amaro","El crimen del padre Amaro",https://www.imdb.com/title/tt0313196/,Movie,6.7,118,2002,"Drama, Romance",14865,2002-12-13,"Carlos Carrera"
1085,tt0082334,2016-08-01,2016-08-01,,"The Entity","The Entity",https://www.imdb.com/title/tt0082334/,Movie,6.7,125,1982,"Drama, Horror",19880,1983-02-04,"Sidney J. Furie"
1086,tt0145503,2016-08-01,2016-08-01,,"Sunshine","Sunshine",https://www.imdb.com/title/tt0145503/,Movie,7.4,181,1999,"Drama, History, Romance, War",16311,2000-07-14,"István Szabó"
1087,tt0358349,2016-08-01,2016-08-01,,"Agent Cody Banks 2: Destination London","Agent Cody Banks 2: Destination London",https://www.imdb.com/title/tt0358349/,Movie,4.6,100,2004,"Action, Adventure, Comedy, Family, Romance, Sci-Fi",16729,2004-03-12,"Kevin Allen"
1088,tt3797868,2016-08-01,2016-08-01,,"The Choice","The Choice",https://www.imdb.com/title/tt3797868/,Movie,6.5,111,2016,"Drama, Romance",48785,2016-02-05,"Ross Katz"
1089,tt0058947,2016-08-01,2016-08-01,,"Battle of the Bulge","Battle of the Bulge",https://www.imdb.com/title/tt0058947/,Movie,6.8,167,1965,"Drama, History, War",18798,1966-01-28,"Ken Annakin"
1090,tt0087507,2016-08-01,2016-08-01,,"Johnny Dangerously","Johnny Dangerously",https://www.imdb.com/title/tt0087507/,Movie,6.5,90,1984,"Comedy, Crime",17340,1984-12-21,"Amy Heckerling"
1091,tt0061385,2016-08-01,2016-08-01,,"Barefoot in the Park","Barefoot in the Park",https://www.imdb.com/title/tt0061385/,Movie,7.0,106,1967,"Comedy, Romance",22077,1967-05-25,"Gene Saks"
1092,tt0475937,2016-08-01,2016-08-01,,"The Abandoned","The Abandoned",https://www.imdb.com/title/tt0475937/,Movie,5.5,99,2006,"Horror, Mystery, Thriller",13609,2007-02-23,"Nacho Cerdá"
1093,tt0035575,2016-08-01,2016-08-01,,"Yankee Doodle Dandy","Yankee Doodle Dandy",https://www.imdb.com/title/tt0035575/,Movie,7.6,126,1942,"Biography, Drama, Family, Music, Musical",17784,1942-06-06,"Michael Curtiz"
1094,tt0084412,2016-08-01,2016-08-01,,"Night Shift","Night Shift",https://www.imdb.com/title/tt0084412/,Movie,6.5,106,1982,"Comedy",19508,1982-07-30,"Ron Howard"
1095,tt0420206,2016-08-01,2016-08-01,,"Summer Storm","Sommersturm",https://www.imdb.com/title/tt0420206/,Movie,7.2,98,2004,"Comedy, Drama, Romance, Sport",14844,2004-09-02,"Marco Kreuzpaintner"
1096,tt0071994,2016-08-01,2016-08-01,,"Phantom of the Paradise","Phantom of the Paradise",https://www.imdb.com/title/tt0071994/,Movie,7.3,91,1974,"Comedy, Drama, Fantasy, Horror, Music, Romance, Thriller",25162,1974-11-01,"Brian De Palma"
1097,tt0280653,2016-08-01,2016-08-01,,"Amen.","Amen.",https://www.imdb.com/title/tt0280653/,Movie,7.2,132,2002,"Biography, Crime, Drama, War",15542,2002-02-27,"Costa-Gavras"
1098,tt1712159,2016-08-01,2016-08-01,,"11-11-11","11-11-11",https://www.imdb.com/title/tt1712159/,Movie,3.9,90,2011,"Horror, Mystery, Thriller",12756,2011-11-11,"Darren Lynn Bousman"
1099,tt0097289,2016-08-01,2016-08-01,,"Erik the Viking","Erik the Viking",https://www.imdb.com/title/tt0097289/,Movie,6.1,107,1989,"Adventure, Comedy, Fantasy",15102,1989-09-22,"Terry Jones"
1100,tt1650048,2016-08-01,2016-08-01,,"Laurence Anyways","Laurence Anyways",https://www.imdb.com/title/tt1650048/,Movie,7.6,168,2012,"Drama, Romance",22958,2013-06-28,"Xavier Dolan"
1101,tt0119280,2016-08-01,2016-08-01,,"Mrs. Brown","Mrs Brown",https://www.imdb.com/title/tt0119280/,Movie,7.2,101,1997,"Biography, Drama, History, Romance",16247,1997-10-03,"John Madden"
1102,tt0060474,2016-08-01,2016-08-01,,"Don't Look Now... We're Being Shot At!","La grande vadrouille",https://www.imdb.com/title/tt0060474/,Movie,7.9,123,1966,"Adventure, Comedy, War",21792,1966-12-08,"Gérard Oury"
1103,tt1275863,2016-08-01,2016-08-01,,"Love Aaj Kal","Love Aaj Kal",https://www.imdb.com/title/tt1275863/,Movie,6.8,128,2009,"Comedy, Drama, Romance",17973,2009-07-31,"Imtiaz Ali"
1104,tt0046126,2016-08-01,2016-08-01,,"Niagara","Niagara",https://www.imdb.com/title/tt0046126/,Movie,7.0,92,1953,"Drama, Film-Noir, Thriller",21505,1953-02,"Henry Hathaway"
1105,tt0080009,2016-08-01,2016-08-01,,"Tess","Tess",https://www.imdb.com/title/tt0080009/,Movie,7.3,186,1979,"Drama, Romance",19385,1980-12-12,"Roman Polanski"
1106,tt0099819,2016-08-01,2016-08-01,,"I Love You to Death","I Love You to Death",https://www.imdb.com/title/tt0099819/,Movie,6.4,97,1990,"Comedy, Crime",16268,1990-04-06,"Lawrence Kasdan"
1107,tt0071970,2016-08-01,2016-08-01,,"The Parallax View","The Parallax View",https://www.imdb.com/title/tt0071970/,Movie,7.1,102,1974,"Drama, Mystery, Thriller",23950,1974-06-19,"Alan J. Pakula"
1108,tt0090095,2016-08-01,2016-08-01,,"Subway","Subway",https://www.imdb.com/title/tt0090095/,Movie,6.5,104,1985,"Thriller",17487,1985-11-06,"Luc Besson"
1109,tt0095468,2016-08-01,2016-08-01,,"A Short Film About Killing","Krótki film o zabijaniu",https://www.imdb.com/title/tt0095468/,Movie,7.9,84,1988,"Crime, Drama",23849,1995-08-11,"Krzysztof Kieslowski"
1110,tt1836944,2016-08-01,2016-08-01,,"The Baytown Outlaws","The Baytown Outlaws",https://www.imdb.com/title/tt1836944/,Movie,6.3,98,2012,"Action, Comedy, Crime, Thriller",16784,2012-12-07,"Barry Battles"
1111,tt2793490,2016-08-01,2016-08-01,,"Starry Eyes","Starry Eyes",https://www.imdb.com/title/tt2793490/,Movie,6.0,98,2014,"Horror, Mystery",23708,2014-11-14,"Kevin Kölsch, Dennis Widmyer"
1112,tt0091993,2016-08-01,2016-08-01,,"SpaceCamp","SpaceCamp",https://www.imdb.com/title/tt0091993/,Movie,5.8,107,1986,"Adventure, Family, Sci-Fi",16544,1986-06-06,"Harry Winer"
1113,tt0326769,2016-08-01,2016-08-01,,"Biker Boyz","Biker Boyz",https://www.imdb.com/title/tt0326769/,Movie,4.7,110,2003,"Action, Drama",14610,2003-01-31,"Reggie Rock Bythewood"
1114,tt0384369,2016-08-01,2016-08-01,,"Before the Fall","Napola - Elite für den Führer",https://www.imdb.com/title/tt0384369/,Movie,7.4,110,2004,"Drama, Sport, Thriller, War",18988,2005-01-13,"Dennis Gansel"
1115,tt0844671,2016-08-01,2016-08-01,,"College","College",https://www.imdb.com/title/tt0844671/,Movie,4.6,94,2008,"Comedy",12824,2008-08-29,"Deb Hagan"
1116,tt0111732,2016-08-01,2016-08-01,,"With Honors","With Honors",https://www.imdb.com/title/tt0111732/,Movie,6.7,101,1994,"Comedy, Drama",17469,1994-04-29,"Alek Keshishian"
